LEAID,#schools,#students,district,state,Tier
4841670,3,576.0,STRATFORD ISD,TX,Tier 1
4841700,2,142.0,STRAWN ISD,TX,Tier 1
4841760,2,480.0,SUDAN ISD,TX,Tier 1
4841790,1,218.0,SULPHUR BLUFF ISD,TX,Tier 1
4841820,8,4313.0,SULPHUR SPRINGS ISD,TX,Tier 3
4841850,4,583.0,SUNDOWN ISD,TX,Tier 1
4841880,5,2025.0,SUNNYVALE ISD,TX,Tier 2
4841910,3,591.0,SUNRAY ISD,TX,Tier 1
4841970,4,1848.0,SWEENY ISD,TX,Tier 1
4842000,1,143.0,SWEET HOME ISD,TX,Tier 1
